device_name,manage_ip,produce,os_software_version,device_type,serial_number,login_u_p,location,warranty_expiration,service_contract,last_modification_timestamp,initialization_timestamp,comments,device_op
 PSP02SEC , 172.25.16.68 ,Vmware,,server,,,SH-IDC,,,2020-07-06 15:39:45,2020-07-06 15:39:45,,正常(Normal)
 PSP01VCSA60 , 172.25.16.72 ,Vmware,,server,,,SH-IDC,,,2020-07-06 15:40:02,2020-07-06 15:40:02,,正常(Normal)
 PDL04GFNIN004 , 172.25.16.73 ,Vmware,,server,,,SH-IDC,,,2020-07-06 15:40:16,2020-07-06 15:40:16,,正常(Normal)
 PSP01TCDB , 172.25.16.74 ,Vmware,,server,,,SH-IDC,,,2020-07-06 15:40:30,2020-07-06 15:40:30,,正常(Normal)
 PSP05FC1 , 172.25.61.42 , DL360 Gen9 ,,server, 6CU520Y6HS ,,SH-IDC,,,2020-07-06 15:40:51,2020-07-06 15:40:51,,正常(Normal)
 PSP04IAS , 172.25.61.40 , DL360 Gen9 ,,server, 6CU520Y6J6 ,,SH-IDC,,,2020-07-06 15:41:11,2020-07-06 15:41:11,,正常(Normal)
 PDW40MADIN600 , 172.25.61.60 , DL380 Gen9 ,,server,,,SH-IDC,,,2020-07-06 15:41:31,2020-07-06 15:41:31,,正常(Normal)
 PSP04ESXI , 172.25.62.20 , DL360 Gen10 ,,server,,,SH-IDC,,,2020-07-06 15:41:56,2020-07-06 15:41:56,,正常(Normal)
 PSP05ESXI , 172.25.62.21 , DL360 Gen10 ,,server,,,SH-IDC,,,2020-07-06 15:42:15,2020-07-06 15:42:15,,正常(Normal)
 PSP06FC1 , 172.25.40.23 , DL360 Gen9 ,,server, 6CU638WA5N ,,SH-IDC,,,2020-07-06 15:42:39,2020-07-06 15:42:39,,正常(Normal)
 PDW01MADIN600 , 168.94.45.140 , DL380G7 ,,server,,,SH-IDC,,,2020-07-06 15:42:58,2020-07-06 15:42:58,,正常(Normal)
 PDW02MADIN600 , 168.94.141.15 , DL380G7 ,,server,,,SH-IDC,,,2020-07-06 15:43:13,2020-07-06 15:43:13,,正常(Normal)
 PSP01AVEC , 172.25.16.75 ,Vmware,,server,,,SH-IDC,,,2020-07-06 15:43:31,2020-07-06 15:43:31,,正常(Normal)
 PSP06ESXI , 172.25.16.51 , DL360 Gen10 ,,server, CN70170GLM ,,SH-IDC,,,2020-07-06 15:43:51,2020-07-06 15:43:51,,正常(Normal)
 PSP07ESXI , 172.25.16.52 , DL360 Gen10 ,,server, CN70170GLN ,,SH-IDC,,,2020-07-06 15:44:11,2020-07-06 15:44:11,,正常(Normal)
 PSP08ESXI , 172.25.16.53 , DL360 Gen10 ,,server, CN70170GLL ,,SH-IDC,,,2020-07-06 15:44:31,2020-07-06 15:44:31,,正常(Normal)
 PSP16UTIL , 172.25.61.53 , DL360 Gen10 ,,server,,,SH-IDC,,,2020-07-06 15:44:49,2020-07-06 15:44:49,,正常(Normal)
 PSP17UTIL , 172.25.40.24 , DL360 Gen10 ,,server,,,SH-IDC,,,2020-07-06 15:45:06,2020-07-06 15:45:06,,正常(Normal)
PSP18UTIL, 10.193.13.30 , DL360 Gen10 ,,server, 4CE9200YNM ,,SH-IDC,,,2020-07-06 15:45:27,2020-07-06 15:45:27,,正常(Normal)
pnr02nso,172.25.18.167,ISR4451-X/K9,isr4400-universalk9.03.16.04b.S.155-3.S4b-ext.SPA.bin,router,FGL2111105H,AD,SH-IDC,9/18/2019,95598639,2020-07-06 16:44:30,2020-07-06 16:42:42,CISCO ID:bby-network,正常(Normal)
PNF01A-PRI,172.25.16.3,ASA5515X,9.1(1)    ,other,FGL164040LJ,bbychnet/Ch!n@net0ps enable Ch!n@net0ps,SH-IDC,7/28/2020,200879408,2020-07-06 18:45:38,2020-07-06 16:52:04,CISCO ID:CSCO13033945,已删除(Deleted)
PNF01A-SEC,172.25.16.2,ASA5515X,9.1(1),other,FGL163840NH,bbychnet/Ch!n@net0ps enable Ch!n@net0ps,SH-IDC,7/28/2020,200879408,2020-07-06 18:45:51,2020-07-06 16:57:05,CISCO ID:CSCO13033945,已删除(Deleted)
pnf01a-chassis,172.25.18.200,Firepower 2110 Appliance,Version 6.4.0.7 (Build 53),other,JMX2349Z06M,admin/Ch!n@net0ps,SH-IDC,,,2020-07-06 17:17:08,2020-07-06 17:05:01,Primary,正常(Normal)
pnf01b-chassis,172.25.18.199,Firepower 2110 Appliance,Version 6.4.0.7 (Build 53),other,JMX2349Z06L,admin/Ch!n@net0ps,SH-IDC,,,2020-07-06 17:26:00,2020-07-06 17:26:00,Secondary,正常(Normal)
ASA5515-CTC/sec,172.25.18.103,ASA5515,asa964-8-smp-k8.bin,other,FGL180140HK,bbychnet/Ch!n@net0ps enable N03nab!e4u,SH-IDC,6/9/2021,200879408,2020-07-06 17:47:12,2020-07-06 17:41:33,CISCO ID:CSCO13033945,正常(Normal)
ASA5515-CTC/pri,172.25.18.104,ASA5515,asa964-8-smp-k8.bin,other,FGL17514093,bbychnet/Ch!n@net0ps enable N03nab!e4u,SH-IDC,6/9/2021,200879408,2020-07-06 17:46:19,2020-07-06 17:46:19,CISCO ID:CSCO13033945,正常(Normal)
pns01dc,172.25.17.4,WS-C3850-48P-E,cat3k_caa-universalk9.16.09.04.SPA.bin,switch-stack,FOC2022X0EV,AD,SH-IDC,9/18/2019,95598639,2020-07-06 17:57:43,2020-07-06 17:57:43,CISCO ID:bby-network,正常(Normal)
pns01dc,172.25.17.4,WS-C3850-48P-E,cat3k_caa-universalk9.16.09.04.SPA.bin,switch-stack,FCW2027C0M9,AD,SH-IDC,9/18/2019,95598639,2020-07-06 18:00:48,2020-07-06 18:00:48,CISCO ID:bby-network,正常(Normal)
pns01dmz,172.25.18.180,WS-C3850-48P-E,cat3k_caa-universalk9.16.09.04.SPA.bin,switch-stack,FOC2022U0T7,AD,SH-IDC,9/18/2019,95598639,2020-07-06 18:06:16,2020-07-06 18:06:16,CISCO ID:bby-network,正常(Normal)
pns01dmz,172.25.18.180,WS-C3850-48P-E,cat3k_caa-universalk9.16.09.04.SPA.bin,switch-stack,FCW2022D0BJ,AD,SH-IDC,9/18/2019,95598639,2020-07-06 18:08:56,2020-07-06 18:08:56,CISCO ID:bby-network,正常(Normal)
pnv01ccm-idc,172.25.16.251,CUCM Vmware,10.5.2.21900-13 Unrestricted,voice_video,FCH1916V123,CCMAdministrator/N0Cha&ge!,SH-IDC,7/28/2020,200879408,2020-07-06 18:25:18,2020-07-06 18:25:18,"CISCO ID:CSCO13033945
",正常(Normal)
pnv02ccm-idc,172.25.16.252,CUCM Vmware,10.5.2.21900-13 Unrestricted,voice_video,FCH1923V0ZD,CCMAdministrator/N0Cha&ge!,SH-IDC,7/28/2020,200879408,2020-07-06 18:29:29,2020-07-06 18:29:29,"CISCO ID:CSCO13033945
",正常(Normal)
pnw02wlc-idc,172.25.63.10,AIR-CT5508-K9,8.2.141.0,other,FCW1803L0DD,bbychnet/Ch!n@net0ps,SH-IDC,7/28/2020,200879408,2020-07-06 18:40:30,2020-07-06 18:40:30,"CISCO ID:CSCO13033945
",正常(Normal)
pnw01wlc-hq,172.25.61.115,AIR-CT5508-K9,8.2.141.0,other,FCW1804L07G,bbychnet/Ch!n@net0ps,SH-HQ,7/28/2020,200879408,2020-07-06 18:44:14,2020-07-06 18:44:14,CISCO ID:CSCO13033945,正常(Normal)
PRTG,172.25.16.200,PRTG,,app_server,,ac01/Ac@12345,SH-IDC,,,2020-07-06 18:47:42,2020-07-06 18:47:42,https://172.25.16.200/index.htm,正常(Normal)
Solarwinds,172.25.16.200,Solarwinds,,switch-stack,,admin/,SH-IDC,,,2020-07-06 18:54:04,2020-07-06 18:54:04,http://172.25.16.200:8787/Orion,正常(Normal)
WSA,172.25.16.150,WSA,,app_server,,chnetadmin Cisco@123,SH-IDC,,,2020-07-06 18:56:46,2020-07-06 18:56:46,https://psp01wsa.asia.bestbuy.com:8443/,正常(Normal)
China FMC,172.25.62.23,FMC,,app_server,,AA336528 1qaz@Wsx,SH-IDC,,,2020-07-06 18:59:49,2020-07-06 18:59:49,https://172.25.62.23/ui/login,正常(Normal)
pnr01wan,,ISR4451-X/K9,,router,,,SH-IDC,,,2020-07-06 19:08:09,2020-07-06 19:08:09,TO:USA,正常(Normal)
US_FW,172.25.18.35,firewall,,other,,,SH-IDC,,,2020-07-06 19:08:48,2020-07-06 19:08:48,,正常(Normal)
pnv01imp-idc,172.25.16.247,video,,app_server,,,SH-IDC,,,2020-07-06 19:11:27,2020-07-06 19:11:27,,正常(Normal)
pnv02imp-idc,172.25.16.248,video,,app_server,,,SH-IDC,,,2020-07-06 19:12:20,2020-07-06 19:11:54,,正常(Normal)
pnr01shenzhen,172.25.40.3,ISR4431/K9,isr4400-universalk9.16.06.04.SPA.bin,router,FGL202610M8,AD,SZ,6/30/2021,95598639,2020-07-07 16:10:31,2020-07-07 16:01:46,Cisco ID:bby-network,正常(Normal)
pns01shenzhen,172.25.40.4,WS-C3850-48P-E,cat3k_caa-universalk9.16.12.01.SPA.bin,switch,FCW2023C09P,AD,SZ,6/30/2021,95598639,2020-07-07 16:10:10,2020-07-07 16:09:00,"Cisco ID:bby-network
",正常(Normal)
pns02shenzhen,172.25.40.11,WS-C3850-48P-E,cat3k_caa-universalk9.16.12.01.SPA.bin,switch,FOC2023U04P,AD,SZ,6/30/2021,95598639,2020-07-07 16:15:53,2020-07-07 16:15:53,Cisco ID:bby-network,正常(Normal)
pns03shenzhen,172.25.40.12,WS-C3850-48P-E,cat3k_caa-universalk9.16.12.01.SPA.bin,switch,FOC2023X07F,AD,SZ,6/30/2021,95598639,2020-07-07 16:20:59,2020-07-07 16:20:59,Cisco ID:bby-network,正常(Normal)
pns04shenzhen,172.25.40.13,WS-C3850-48P-E,cat3k_caa-universalk9.16.12.01.SPA.bin,switch,FOC2023U0B6,AD,SZ,6/30/2021,95598639,2020-07-07 16:23:54,2020-07-07 16:23:54,Cisco ID:bby-network,正常(Normal)
pnr01shahq-wan,172.25.61.1,ISR4451-X/K9,isr4400-universalk9.03.16.06.S.155-3.S6-ext.SPA.bin,router,FGL202511HR,AD,SH-HQ,9/18/2019,95598639,2020-07-07 16:28:30,2020-07-07 16:28:30,Cisco ID:bby-network,正常(Normal)
pnr02shahq-vg,172.25.61.71,ISR4451-X/K9,isr4400-universalk9.16.06.04.SPA.bin,router,FGL210211B1,AD,SH-HQ,9/18/2019,95598639,2020-07-07 16:38:37,2020-07-07 16:38:37,Cisco ID:bby-network,正常(Normal)
pns01shahq-1,172.25.61.4,WS-C3850-48P-E,16.3.8,switch-stack,FCW2027D0EK,AD,SH-HQ,9/18/2019,95598639,2020-07-07 16:54:57,2020-07-07 16:54:57,Cisco ID:bby-network,正常(Normal)
pns01shahq-1,172.25.61.4,WS-C3850-48P-E,16.3.8,switch-stack,FCW2022D0CB,AD,SH-HQ,9/18/2019,95598639,2020-07-07 16:56:08,2020-07-07 16:56:08,Cisco ID:bby-network,正常(Normal)
pns01shahq,172.25.61.98,WS-C3850-48P-E,cat3k_caa-universalk9.16.09.04.SPA.bin,switch,FOC2021U0ZG,AD,SH-HQ,9/18/2019,95598639,2020-07-07 16:58:56,2020-07-07 16:58:56,Cisco ID:bby-network,正常(Normal)
pns02shahq,172.25.61.99,WS-C3850-48P-E,cat3k_caa-universalk9.16.09.04.SPA.bin,switch,FOC2022U0UN,AD,SH-HQ,9/18/2019,95598639,2020-07-07 17:01:30,2020-07-07 17:01:30,Cisco ID：bby-network,正常(Normal)
pns03shahq,172.25.61.100,WS-C3850-48P-E,cat3k_caa-universalk9.16.09.04.SPA.bin,switch,FOC2027U0ML,AD,SH-HQ,9/18/2019,95598639,2020-07-07 17:03:41,2020-07-07 17:03:41,,正常(Normal)
pns04shahq,172.25.61.101,WS-C3850-48P-E,cat3k_caa-universalk9.16.09.04.SPA.bin,switch,FCW2027F0HP,AD,SH-HQ,8/1/2019,95598639,2020-07-07 17:06:45,2020-07-07 17:06:45,,正常(Normal)
pns05shahq,172.25.61.102,WS-C3850-48P-E,cat3k_caa-universalk9.16.09.04.SPA.bin,switch,FOC2022X0ES,AD,SH-HQ,9/18/2019,95598639,2020-07-07 17:08:54,2020-07-07 17:08:54,,正常(Normal)
pns06shahq,172.25.61.103,WS-C3850-48P-E,cat3k_caa-universalk9.16.09.04.SPA.bin,switch,FCW2022D0A7,AD,SH-HQ,9/18/2019,95598639,2020-07-07 17:11:23,2020-07-07 17:11:23,,正常(Normal)
pns07shahq,172.25.61.105,N5K-C5672UP,n6000-uk9.7.1.0.N1.1b.bin,switch,FOC2247R0W3,admin/admin@123,SH-HQ,,,2020-07-07 17:41:03,2020-07-07 17:21:26,nexus,正常(Normal)
pns08shahq,172.25.61.106,N5K-C5672UP,n6000-uk9.7.1.0.N1.1b.bin,switch,FOC2248R0MC,admin/admin@123,SH-HQ,,,2020-07-07 17:41:15,2020-07-07 17:24:17,nexus,正常(Normal)
SH-PD Room,172.25.53.207,SX20,,voice_video,FDO210316N5 ,admin/bestbuy,SH-HQ,,,2020-07-07 17:30:19,2020-07-07 17:30:19,"MAC:D42C447CA7B0
Ext NO. 3254
URL: mailto:880013254@172.25.16.252",正常(Normal)
SH-TW Room,172.25.52.84,SX20,,voice_video,FDO21040STV ,admin/bestbuy,SH-HQ,,,2020-07-07 17:32:30,2020-07-07 17:32:30,"MAC: 0076864520AE
Ext NO. 3253
URL: mailto:880013253@172.25.16.252",正常(Normal)
SZ-Dynex,172.25.41.141,SX20,,voice_video,FDO21050E6J ,admin/bestbuy,SZ,,,2020-07-07 17:34:22,2020-07-07 17:34:22,"MAC: 00768645218E
Ext NO. 276
URL: mailto:880020276@172.25.16.252",正常(Normal)
SZ-Magnolia,172.25.41.135,SX20,,voice_video,FDO21040BDU,admin/bestbuy,SZ,,,2020-07-07 17:36:43,2020-07-07 17:36:43,"MAC: 00A289D1DD48
Ext NO. 252
URL: mailto:880020256@172.25.16.252",正常(Normal)
TW-SH Room,10.192.12.170,SX20,,voice_video,FDO21040STU,admin/bestbuy,TW,,,2020-07-07 17:38:30,2020-07-07 17:38:30,"MAC: 00B0E1735577
Ext NO. 717
URL: mailto:880030717@172.25.16.252",正常(Normal)
pnr01taw,10.192.12.33,ISR4431/K9,isr4400-universalk9.03.16.04b.S.155-3.S4b-ext.SPA.bin,router,FJC2050D0GN,AD,TW,30/6/2021,95598639,2020-07-08 15:07:51,2020-07-08 15:07:51,,正常(Normal)
cnbtw001n002,10.192.12.35,WS-C3850-48P-E,03.06.05E,router,FCW2033F0SA,bbychnet/Ch!n@net0ps,TW,30/6/2021,,2020-09-02 11:55:49,2020-07-08 15:11:47,,正常(Normal)
szbackup,172.25.42.5,Cisco 2851,Version 15.1(4)M8,router,FHK1041F46P,bbychnet/Ch!n@net0ps,SZ,,,2021-04-07 15:49:23,2021-04-07 15:49:23,,正常(Normal)
